doc_id,query_id,score,query_type,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,method,model_name,experiment,config_slug,text_source,chunk_size,chunk_overlap,include_title_chunk,index_dir
tvillinggraviditet och -förlossning,CTG variabla decelerationer åtgärder amnioinfusion,0.915205180644989,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
anemi - graviditet och postpartum,retraktion uterus bedömning postpartum,0.9181643724441528,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
"antikoagulantiabehandling och koagulationsutredning under graviditet, förlossning och postpartum",retraktion uterus bedömning postpartum,0.9157986044883728,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
familjer i behov av extra stöd överrapportering från barnmorska till barnavårdscentral,retraktion uterus bedömning postpartum,0.9155957102775574,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
o-news övervakning för gravida och postpartumkontroller,retraktion uterus bedömning postpartum,0.9153261184692383,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
urinretention obstetrik,retraktion uterus bedömning postpartum,0.9144970178604126,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
"neurologiska bortfall postpartum, anop ing 96",retraktion uterus bedömning postpartum,0.9134852290153503,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
"obstetrik - kunskapsunderlag, postop.avd 101f",retraktion uterus bedömning postpartum,0.913121223449707,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
"vårdrutin, obstetrik, postop ing 96",retraktion uterus bedömning postpartum,0.9125639200210571,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
vårdprogram för förlossningsbristningar,retraktion uterus bedömning postpartum,0.9125166535377502,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
glycerylnitrat - intravenös bolus för akut uterusrelaxation,retraktion uterus bedömning postpartum,0.9121171236038208,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
bedömning av vårdnivå under graviditet och postpartum,retraktion uterus bedömning postpartum,0.9118919372558594,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
förlossningsrädsla,retraktion uterus bedömning postpartum,0.911815881729126,Längre sökterm,2026-03-25T09:58:41+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_on__cleaned_text,cleaned_text,150,25,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_on__cleaned_text
hud-mot-hudvård på intensivvårdsavdelningen för nyfödda,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9155846238136292,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
barn på civa,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9130845069885254,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
"hypotermibehandling, barn - vårdprogram",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9058037996292114,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
amningssamtal med föräldrar till barn inom barnhälsovården,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9054039716720581,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
patientansvarig personal,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9046814441680908,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
"anhöriga på akm, as",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8995559215545654,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
vårdprogram för barn med myelomeningocele på intensivvårdsavdelningen för nyfödda 95f,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8986470103263855,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
efterförlopp vid hjärtstopp och akut händelse - rutin,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8972207903862,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
vårdideologi neo 95f,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8960331678390503,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
vårdprogram för nyfödda barn med bukväggsdefekt,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8958644866943359,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
grundläggande omhändertagande av nyfött barn,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9294778108596802,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
kontroller av inneliggande patienter på bb och förlossningsavdelningen,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9145438075065613,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
nationella rekommendationer för socialt liv när barn behandlas för cancer,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9141625761985779,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
vattenfödsel och bad som smärtlindring,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.91402268409729,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
"hypotermibehandling, barn - vårdprogram",Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9117633104324341,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
feber under förlossning,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9101751446723938,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
tub-b och pews för barn xb68,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9100639820098877,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
underburenhet 22-25 veckor - vårdplan,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9097797274589539,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
svp brännskada barn,Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9097193479537964,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
"graviditetsdiabetes, vårdplan region uppsala",Barn med 36 grader i temperatur på efterkontroller vid förlossningen. Var hittar du information om åtgärder du ska vidta?,0.9094555974006653,Case-beskrivning,2026-03-25T10:00:51+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_50__title_on__cleaned_text,cleaned_text,150,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_50__title_on__cleaned_text
